stock,date,entry_price,entry_idx,rsi,macd,signal,volume_ratio,range_position,conditions_met,conditions,exit_pct,exit_reason,pnl,capital
BSE,2025-11-28,2930.7,854,49.92961051149691,-1.7752613365296384,-0.5869138698625068,3.3333333333333335,28.708133971291744,2,"{'rsi': np.True_, 'macd': False, 'volume': np.True_, 'range': False}",1.6241853482103379,EOD,324.83706964206755,20000
CDSL,2025-11-28,1625.4,855,46.24781849912744,-0.5747091377684228,0.15566195955601383,10.0,20.735785953177505,2,"{'rsi': np.True_, 'macd': False, 'volume': np.True_, 'range': False}",2.32558139534882,EOD,465.11627906976406,20000
CHOLAFIN,2025-11-28,1740.0,849,50.0,-0.2128764538949781,-0.04315592014084435,0.0,55.99999999999974,2,"{'rsi': np.True_, 'macd': False, 'volume': np.False_, 'range': True}",-0.14942528735631663,EOD,-29.885057471263327,20000
CIPLA,2025-11-28,1550.1,635,54.1960784313725,0.2626529715057586,0.0770705298776023,0.0,66.31944444444423,2,"{'rsi': np.True_, 'macd': True, 'volume': np.False_, 'range': False}",-1.2128249790335932,EOD,-242.56499580671866,20000
COALINDIA,2025-11-28,377.25,854,50.30303030303037,-0.10371929652188783,-0.09762542636184476,3.5294117647058822,4.761904761904762,2,"{'rsi': np.True_, 'macd': False, 'volume': np.True_, 'range': False}",0.7157057654075667,EOD,143.14115308151332,20000
COFORGE,2025-11-28,1928.1,846,52.16374269005838,0.39235504641101215,0.31060165375690946,0.0,49.030470914127044,3,"{'rsi': np.True_, 'macd': True, 'volume': np.False_, 'range': True}",-0.7883408536901519,EOD,-157.6681707380304,20000
COLPAL,2025-11-28,2173.1,855,47.01696770662284,-0.7624351229064814,0.29876759366025385,6.0,3.5519125683052746,2,"{'rsi': np.True_, 'macd': False, 'volume': np.True_, 'range': False}",2.567760342368054,EOD,513.5520684736108,20000
CONCOR,2025-11-28,517.4,849,50.0,0.13198636165577682,-0.013800872464978138,0.0,49.41860465116266,3,"{'rsi': np.True_, 'macd': True, 'volume': np.False_, 'range': True}",-0.21260146888285836,EOD,-42.52029377657167,20000
CYIENT,2025-11-28,1130.0,285,65.00000000000057,-0.514886860708657,-0.6351616172495773,1.694915254237288,74.46808510638317,2,"{'rsi': np.False_, 'macd': True, 'volume': np.True_, 'range': False}",-0.4424778761061947,EOD,-88.49557522123894,20000
DABUR,2025-11-28,519.5,570,46.315789473684184,0.07230343513015214,0.08709077578006219,3.7037037037037037,34.722222222222,2,"{'rsi': np.True_, 'macd': False, 'volume': np.True_, 'range': False}",1.40519730510105,EOD,281.03946102021,20000
360ONE,2025-12-01,1196.6,813,55.167958656330704,0.319377643780399,0.0021391941552218532,11.428571428571429,68.99999999999977,2,"{'rsi': np.False_, 'macd': True, 'volume': np.True_, 'range': False}",-1.0529834531171578,EOD,-210.59669062343156,20000
ABB,2025-12-01,5204.5,790,48.854961832061065,-0.6910982368244731,-0.5206650323479706,3.3333333333333335,60.3448275862069,2,"{'rsi': np.True_, 'macd': False, 'volume': np.True_, 'range': False}",-0.13449899125756556,EOD,-26.899798251513115,20000
ABCAPITAL,2025-12-01,358.95,843,48.59550561797754,-0.29483219743644895,-0.03771627403847907,3.8095238095238093,22.641509433962277,2,"{'rsi': np.True_, 'macd': False, 'volume': np.True_, 'range': False}",-0.41788549937317176,EOD,-83.57709987463436,20000
ADANIENSOL,2025-12-01,1008.55,854,50.0,-0.33642376913280714,-0.012525409206986964,0.0,54.564315352696944,2,"{'rsi': np.True_, 'macd': False, 'volume': np.False_, 'range': True}",1.5566902979525108,EOD,311.33805959050216,20000
ADANIGREEN,2025-12-01,1053.0,855,53.846153846153854,0.10827678351733994,0.1377345302624825,0.0,59.885386819484346,2,"{'rsi': np.True_, 'macd': False, 'volume': np.False_, 'range': True}",1.481481481481473,EOD,296.2962962962946,20000
ADANIPORTS,2025-12-01,1555.0,847,52.518703241895246,0.268318851605045,-0.07729098279212185,0.0,60.14851485148524,2,"{'rsi': np.True_, 'macd': True, 'volume': np.False_, 'range': False}",-0.7717041800643086,EOD,-154.34083601286173,20000
